LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Public Sector,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Public Sector,Petroleum products - Agriculture,Gas - Industrial,Gas - Commercial,Gas - Domestic,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic
S92000003,2015,Scotland,0.897436308,0.897436308,1,0.897436308,0.897436308,1,0.895351285,0.961953436,1,0.961953436,1,0.885791357,0.923429719,1,1,0.839709539,1
S92000003,2014,Scotland,0.897489686,0.897489686,1,0.897489686,0.897489686,1,0.892896751,0.988953139,1,0.988953139,1,0.880776682,0.980776328,1,1,1,1
S92000003,2013,Scotland,0.899286208,0.899286208,1,0.899286208,0.899286208,1,0.893584287,0.989345798,1,0.989345798,1,0.879984625,0.980792683,1,1,1,1
S92000003,2012,Scotland,0.901598226,0.901598226,1,0.901598226,0.901598226,1,0.890562745,0.989485527,1,0.989485527,1,0.880292235,0.98080254,1,1,1,1
S92000003,2011,Scotland,0.90084306,0.90084306,1,0.90084306,0.90084306,1,0.88541427,0.989652106,1,0.989652106,1,0.880276931,0.980808792,1,1,1,1
S92000003,2010,Scotland,0.898757137,0.898757137,1,0.898757137,0.898757137,1,0.876899486,0.989503534,1,0.989503534,1,0.879131021,0.980850856,1,1,1,1
S92000003,2009,Scotland,0.898757137,0.898757137,1,0.898757137,0.898757137,1,0.876899486,0.989503534,1,0.989503534,1,0.879131021,0.980850856,1,1,1,1
S92000003,2008,Scotland,0.898757137,0.898757137,1,0.898757137,0.898757137,1,0.876899486,0.989503534,1,0.989503534,1,0.879131021,0.980850856,1,1,1,1
S92000003,2007,Scotland,0.898757137,0.898757137,1,0.898757137,0.898757137,1,0.876899486,0.989503534,1,0.989503534,1,0.879131021,0.980850856,1,1,1,1
S92000003,2006,Scotland,0.898757137,0.898757137,1,0.898757137,0.898757137,1,0.876899486,0.989503534,1,0.989503534,1,0.879131021,0.980850856,1,1,1,1
S92000003,2005,Scotland,0.898757137,0.898757137,1,0.898757137,0.898757137,1,0.876899486,0.989503534,1,0.989503534,1,0.879131021,0.980850856,1,1,1,1
S92000003,2017,Scotland,0.909003607,0.909003607,1,0.909003607,0.909003607,1,0.874375636,0.961952913,1,0.961952913,1,0.872810783,0.923430048,1,1,0.839706774,1
S92000003,2018,Scotland,0.906011088,0.906011088,1,0.906011088,0.906011088,1,0.896383517,0.961952913,1,0.961952913,1,0.897656538,0.923430048,1,1,0.839706774,1
S92000003,2019,Scotland,0.894792202,0.894792202,1,0.894792202,0.894792202,1,0.894980691,0.961952913,1,0.961952913,1,0.895889318,0.923430048,1,1,0.839706774,1
S92000003,2020,Scotland,0.884633287,0.884633287,1,0.884633287,0.884633287,1,0.899345767,0.961952913,1,0.961952913,1,0.890705319,0.923430048,1,1,1,1
S92000003,2017,Scotland,0.894079427,0.894079427,1,0.894079427,0.894079427,1,0.895776537,0.961952913,1,0.961952913,1,0.884649361,0.923430048,1,1,0.839706774,1
