Year,Oil Gas GVA,Share
1998,6.839000011,0.080695322
1999,8.88,0.100697661
2000,14.531,0.150142736
2001,13.716,0.136933105
2002,12.273,0.119900383
2003,12.54,0.115833666
2004,13.802,0.11921109
2005,16.564,0.132449149
2006,17.768,0.133391685
2007,17.599,0.127156791
2008,21.568,0.146392156
2009,14.416,0.103887385
2010,18.875,0.130134415
2011,20.484,0.135685701
2012,17.646,0.11565486
2013,16.451,0.104136753
2014,13.375,0.083159701
2015,7.476,0.047680259
2016,7.908,0.049342149
2017,11.679,0.068312937
2018,16.625,0.092338529
2019,16.502,0.089314934
2020,10.266,0.062612809
2021,16.464,0.088849716
2022,25.15233847,0.118347688
